92,"我不敢相信你居然殺死了血鴉！

雖然她以前是我最親密的朋友，我還是要祈禱她受盡折磨的靈魂受到永遠的放逐。

陌生人，你贏得了我的敬意...還有俠盜的忠誠。我派了幾位最厲害的戰士任你差遣。","我不敢相信你居然殺死了血鴉！

雖然她以前是我最親密的朋友，我還是要祈禱她受盡折磨的靈魂受到永遠的放逐。

陌生人，你贏得了我的敬意…還有俠盜的忠誠。我派了幾位最厲害的戰士任你差遣。"
97,"顯然，我們面對的這股邪惡力量難以捉摸也難以抗衡。

現在只剩下一位精通神秘歷史和知識的赫拉迪姆賢者，能夠給我們建議...他的名字是迪卡‧凱恩。

朋友，你必須去崔斯特姆找到他。我祈禱他安然無恙。","顯然，我們面對的這股邪惡力量難以捉摸也難以抗衡。

現在只剩下一位精通神秘歷史和知識的赫拉迪姆賢者，能夠給我們建議…他的名字是迪卡‧凱恩。

朋友，你必須去崔斯特姆找到他。我祈禱他安然無恙。"
98,"艾尼弗斯的樹皮上有神秘的符文。

阿卡拉可以翻譯它們...讓我們有機會復仇！","艾尼弗斯的樹皮上有神秘的符文。

阿卡拉可以翻譯它們…讓我們有機會復仇！"
99,"步行前往崔斯特姆太慢了...等你走到那裡，凱恩可能已經死了。有一個魔法傳送門可以讓你瞬間抵達那個地方。

要啟動傳送門，必須站在石陣之中，然後以特定順序觸碰石柱。符文的順序就刻在艾尼弗斯之樹的樹皮上面。
 
找到神聖的艾尼弗斯之樹，把樹皮帶回來。我會幫你們解讀這些符文，以啟動石陣的神秘力量。","步行前往崔斯特姆太慢了…等你走到那裡，凱恩可能已經死了。有一個魔法傳送門可以讓你瞬間抵達那個地方。

要啟動傳送門，必須站在石陣之中，然後以特定順序觸碰石柱。符文的順序就刻在艾尼弗斯之樹的樹皮上面。
 
找到神聖的艾尼弗斯之樹，把樹皮帶回來。我會幫你們解讀這些符文，以啟動石陣的神秘力量。"
107,"努力追尋卻一無所獲的人，必須聽從內心的指引...或是再加把勁！","努力追尋卻一無所獲的人，必須聽從內心的指引…或是再加把勁！"
110,"喂，朋友...我這裡是有很多奇怪的東西沒錯，但是我不賣樹皮，懂嗎？","喂，朋友…我這裡是有很多奇怪的東西沒錯，但是我不賣樹皮，懂嗎？"
115,"聽說崔斯特姆現在就像是...野蠻人婚禮之後的宴會廳！我會在這裡等你光榮回來。","聽說崔斯特姆現在就像是…野蠻人婚禮之後的宴會廳！我會在這裡等你光榮回來。"
120,"啊，凱恩回來了...又多一個顧客。自從遇見那個為愛痴狂、放浪不羈的女子之後，我很久沒這麼開心了。","啊，凱恩回來了…又多一個顧客。自從遇見那個為愛痴狂、放浪不羈的女子之後，我很久沒這麼開心了。"
124,"...朋友，我十分感激你救我一命。","…朋友，我十分感激你救我一命。"
125,"噢...保佑俠盜！他們終於把我從那個受詛咒的地方救出來了！","噢…保佑俠盜！他們終於把我從那個受詛咒的地方救出來了！"
126,"我很遺憾，對於崔斯特姆被毀滅，我無能為力。看來我們心中最深沉的恐懼已經成真，也就是恐懼之王迪亞布羅，再次肆虐人世了！

如你所知，迪亞布羅之前在崔斯特姆地底被消滅了。當我們的英雄在城鎮底下的迷宮獲勝後，我們在城鎮中舉行了為期數天的盛大慶典。

可是幾個星期之後，這位英雄變得越來越冷漠，開始跟其他鎮民保持距離，就像是陷入深沉黑暗、揮之不去的沮喪一樣。我當時還以為那只是因為他無法把受過的痛苦拋諸腦後所造成的。

隨著時間慢慢過去，英雄所受到的折磨也與日俱增。我記得他好幾次在黑夜中驚醒、嘶聲大叫，而且每次都提到「東方」。

有一天，他就這樣離開了。過沒多久，崔斯特姆就遭受大群邪惡的惡魔攻擊。很多人都死了，惡魔還把我關在那受詛咒的牢籠中等死。

我認為，在修道院落入惡魔手中之前出現的那個黑暗流浪者，就是之前那位崔斯特姆的英雄。

朋友，我很擔心...恐怕迪亞布羅已經附身在那個企圖消滅他的英雄身上。如果這是真的，迪亞布羅會變得比之前更強大。

你不阻止他的話，世界便會滅亡。","我很遺憾，對於崔斯特姆被毀滅，我無能為力。看來我們心中最深沉的恐懼已經成真，也就是恐懼之王迪亞布羅，再次肆虐人世了！

如你所知，迪亞布羅之前在崔斯特姆地底被消滅了。當我們的英雄在城鎮底下的迷宮獲勝後，我們在城鎮中舉行了為期數天的盛大慶典。

可是幾個星期之後，這位英雄變得越來越冷漠，開始跟其他鎮民保持距離，就像是陷入深沉黑暗、揮之不去的沮喪一樣。我當時還以為那只是因為他無法把受過的痛苦拋諸腦後所造成的。

隨著時間慢慢過去，英雄所受到的折磨也與日俱增。我記得他好幾次在黑夜中驚醒、嘶聲大叫，而且每次都提到「東方」。

有一天，他就這樣離開了。過沒多久，崔斯特姆就遭受大群邪惡的惡魔攻擊。很多人都死了，惡魔還把我關在那受詛咒的牢籠中等死。

我認為，在修道院落入惡魔手中之前出現的那個黑暗流浪者，就是之前那位崔斯特姆的英雄。

朋友，我很擔心…恐怕迪亞布羅已經附身在那個企圖消滅他的英雄身上。如果這是真的，迪亞布羅會變得比之前更強大。

你不阻止他的話，世界便會滅亡。"
127,"...那位女伯爵曾經以上百名年輕處女的鮮血入浴，最後的下場是被人活埋...她的城堡在發生過這麼多殘忍暴行之後，很快就變成了廢墟。最後只剩下一座孤塔聳立於重重地牢之上，座落於陰森淒涼的荒野之中，猶如某種邪惡的紀念碑。

據說女伯爵的財富被教士們所瓜分，不過有人認為還有更多財寶尚未被找到，依然靜靜地埋藏在腐朽的骷髏身邊，這些骸骨無聲見證著人類的殘忍行為。","…那位女伯爵曾經以上百名年輕處女的鮮血入浴，最後的下場是被人活埋…她的城堡在發生過這麼多殘忍暴行之後，很快就變成了廢墟。最後只剩下一座孤塔聳立於重重地牢之上，座落於陰森淒涼的荒野之中，猶如某種邪惡的紀念碑。

據說女伯爵的財富被教士們所瓜分，不過有人認為還有更多財寶尚未被找到，依然靜靜地埋藏在腐朽的骷髏身邊，這些骸骨無聲見證著人類的殘忍行為。"
131,"那座塔相當危險。有一首壯闊詩歌是這樣描述它的...你所能承受的悲傷，在此備受考驗。","那座塔相當危險。有一首壯闊詩歌是這樣描述它的…你所能承受的悲傷，在此備受考驗。"
154,"你還沒有找到那把鐵鎚...這樣吧，仔細搜索兵營...俠盜的熔爐都在那裡。","你還沒有找到那把鐵鎚…這樣吧，仔細搜索兵營…俠盜的熔爐都在那裡。"
167,"為了某種邪惡目的，迪亞布羅向東而行，而唯一的路就是穿過修道院的大門。顯然，迪亞布羅召喚了安達莉爾來阻止追兵。

對安達莉爾而言，她希望能贏得迪亞布羅的恩寵...比較弱小的惡魔總是想在地獄的階級鬥爭中，追求更高的權力和地位！","為了某種邪惡目的，迪亞布羅向東而行，而唯一的路就是穿過修道院的大門。顯然，迪亞布羅召喚了安達莉爾來阻止追兵。

對安達莉爾而言，她希望能贏得迪亞布羅的恩寵…比較弱小的惡魔總是想在地獄的階級鬥爭中，追求更高的權力和地位！"
170,"你現在要去找安達莉爾？
 
...我的車輪壞了要馬上修理。要找我的話，我在馬車下面。","你現在要去找安達莉爾？
 
…我的車輪壞了要馬上修理。要找我的話，我在馬車下面。"
175,"你碰見惡魔女王了嗎？我聽說她蠻漂亮的...以怨慟女王的標準來看的話啦。
","你碰見惡魔女王了嗎？我聽說她蠻漂亮的…以怨慟女王的標準來看的話啦。
"
180,"你可能馬上就要動身前往東方了...真高興認識你。如果需要什麼，記得回來找我們。","你可能馬上就要動身前往東方了…真高興認識你。如果需要什麼，記得回來找我們。"
181,"安達莉爾的死亡，讓我們有如重獲新生。我們為死去的姐妹哀悼，不過現在我們可以好好過自己的生活了。

外地人，我...可能低估你了。你是真正的英雄，同時也展現了我們姐妹會世代遵循的崇高信念。

朋友...再會了。","安達莉爾的死亡，讓我們有如重獲新生。我們為死去的姐妹哀悼，不過現在我們可以好好過自己的生活了。

外地人，我…可能低估你了。你是真正的英雄，同時也展現了我們姐妹會世代遵循的崇高信念。

朋友…再會了。"
184,"這可說是莫大的勝利，不過接下來還要面對更多戰鬥。我會與你同行，盡我所能提供協助...

別忘了...迪亞布羅仍在廣大的沙漠中尋找他的目標。我們必須儘快找出他的目的，否則這場惡夢永遠不會結束。","這可說是莫大的勝利，不過接下來還要面對更多戰鬥。我會與你同行，盡我所能提供協助…

別忘了…迪亞布羅仍在廣大的沙漠中尋找他的目標。我們必須儘快找出他的目的，否則這場惡夢永遠不會結束。"
190,"我打賭你一定在好奇，外面的沙漠出了這麼多事，為什麼這座城市這麼安全。嗯，我只能說和城裡的守衛沒有關係...他們因為某些原因全都進到皇宮裡了。
 
傑恩雇用我和傭兵來維護這地方的平靜。我們的價碼不低，但我們是這片荒地中最厲害的。","我打賭你一定在好奇，外面的沙漠出了這麼多事，為什麼這座城市這麼安全。嗯，我只能說和城裡的守衛沒有關係…他們因為某些原因全都進到皇宮裡了。
 
傑恩雇用我和傭兵來維護這地方的平靜。我們的價碼不低，但我們是這片荒地中最厲害的。"
197,"亞特瑪應該是個好女人，但她失去家人以後一定十分孤單。或許我下班之後，該去安慰一下她...","亞特瑪應該是個好女人，但她失去家人以後一定十分孤單。或許我下班之後，該去安慰一下她…"
203,"嗯...你看來是個可靠的冒險者。
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。","嗯…你看來是個可靠的冒險者。
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"
204,"啊...你一定是來幫我們城市驅除邪惡的新英雄。在其他情況下，我會很驚訝看到你這樣的人出現在城裡。但最近發生的事...噢，別提了...
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。","啊…你一定是來幫我們城市驅除邪惡的新英雄。在其他情況下，我會很驚訝看到你這樣的人出現在城裡。但最近發生的事…噢，別提了…
 
你知道嗎？我以前可是個了不起的盜賊。我帶領著最兇殘的強盜集團，在沙漠裡人人聞風色變！
 
現在，我在這裡經營旅店，再也不想惹上任何麻煩。
 
那些冒險的日子已經過去了。"
205,"你知道，這幾年我失去了不少身體部位，東一隻眼睛、西一條腿的...
 
所以，你知道有什麼法術可以讓它們長回來嗎？嗯...仔細一想，我還是保持現狀就好。","你知道，這幾年我失去了不少身體部位，東一隻眼睛、西一條腿的…
 
所以，你知道有什麼法術可以讓它們長回來嗎？嗯…仔細一想，我還是保持現狀就好。"
206,"卓格南的故事啊...你得好好聽這位年邁法師說的每一句話。","卓格南的故事啊…你得好好聽這位年邁法師說的每一句話。"
209,"亞特瑪...是個好女人，她最近一心只想復仇，不過她有充份的理由就是了...","亞特瑪…是個好女人，她最近一心只想復仇，不過她有充份的理由就是了…"
214,"雷山德是個脾氣暴燥的怪老頭。你最好不要打擾他製造藥水，不然...碰一聲你就被炸到月亮上面去！","雷山德是個脾氣暴燥的怪老頭。你最好不要打擾他製造藥水，不然…碰一聲你就被炸到月亮上面去！"
218,"這裡原本有很多妓院...我猜是最近的事把那些女的全嚇跑了，或許她們待在傑恩的皇宮比較「安全」。","這裡原本有很多妓院…我猜是最近的事把那些女的全嚇跑了，或許她們待在傑恩的皇宮比較「安全」。"
219,"艾吉斯那個沙漠老狐狸，個性十分狡猾。好幾年以前，他從我的商隊這裡賺到一小筆錢。我從來沒想過，他居然會這樣...安頓下來。","艾吉斯那個沙漠老狐狸，個性十分狡猾。好幾年以前，他從我的商隊這裡賺到一小筆錢。我從來沒想過，他居然會這樣…安頓下來。"
220,"傑恩繼承了他父親的能力和智慧。雖然年輕，他卻能靠著智慧和謹慎來統治這裡。要是我們能活下來的話...我想他會是一位好蘇丹。","傑恩繼承了他父親的能力和智慧。雖然年輕，他卻能靠著智慧和謹慎來統治這裡。要是我們能活下來的話…我想他會是一位好蘇丹。"
222,"邪惡環伺魯高因，你或許是我們最後的希望...","邪惡環伺魯高因，你或許是我們最後的希望…"
223,"這間酒館的生意一直不錯，直到這場邪惡災難毀了一切。幸運的是，我還有一筆應急的積蓄，不幸的是，我無法拯救我所關心的一切...","這間酒館的生意一直不錯，直到這場邪惡災難毀了一切。幸運的是，我還有一筆應急的積蓄，不幸的是，我無法拯救我所關心的一切…"
228,"噢，雷山德十分古怪，不過他是個善良的老人。在我...兒子生病時，他給過我一些藥。","噢，雷山德十分古怪，不過他是個善良的老人。在我…兒子生病時，他給過我一些藥。"
232,"嘿，我聽說你們野蠻人可以同時揮舞兩把武器。我從來沒學過怎麼用兩隻手一起戰鬥...一手拿著劍、一手拿著酒已經是我的極限了。","嘿，我聽說你們野蠻人可以同時揮舞兩把武器。我從來沒學過怎麼用兩隻手一起戰鬥…一手拿著劍、一手拿著酒已經是我的極限了。"
233,"當然，我聽到很多事。你知道妓院的那些女人嗎？襲擊開始的時候，她們是唯一可以躲在皇宮裡面的人...

啊...真是不意外。","當然，我聽到很多事。你知道妓院的那些女人嗎？襲擊開始的時候，她們是唯一可以躲在皇宮裡面的人…

啊…真是不意外。"
234,"我在外面的沙漠裡殺了許多惡魔，他們的攻勢不但沒有慢下來...而且數量還越來越多。","我在外面的沙漠裡殺了許多惡魔，他們的攻勢不但沒有慢下來…而且數量還越來越多。"
241,"你好，我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海...因為傑恩下令，要我待在港口因應突發狀況。","你好，我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海…因為傑恩下令，要我待在港口因應突發狀況。"
242,"你好，亞馬遜人，我有好幾年沒見到你們了...知道有你這樣強大的戰士在保護城市真好。

我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海...因為傑恩下令，要我待在港口因應突發狀況。","你好，亞馬遜人，我有好幾年沒見到你們了…知道有你這樣強大的戰士在保護城市真好。

我是這艘船的船長馬席夫。我在雙子海一帶載客運貨，有時候也會跑到衛斯馬屈的國王港。

不過，我這陣子都沒有出海…因為傑恩下令，要我待在港口因應突發狀況。"
243,"你有沒有聽說庫拉斯特最近的消息？我知道你們亞馬遜人的足跡遍佈各地，你最近去過那裡嗎？

嗯...好吧，希望海港早日開放。我想回到庫拉斯特的家，看看那邊究竟發生什麼事情。","你有沒有聽說庫拉斯特最近的消息？我知道你們亞馬遜人的足跡遍佈各地，你最近去過那裡嗎？

嗯…好吧，希望海港早日開放。我想回到庫拉斯特的家，看看那邊究竟發生什麼事情。"
253,"親愛的冒險者，你好，我是魯高因的國王傑恩，歡迎你來到這座美麗的海港城市。知道西方之路再次恢復通行，供商隊自由往來，我非常高興。

前一段時間開始，有一股不明的邪惡勢力不斷在攻擊我們。奇怪的是...這一切都是在一名黑暗流浪者經過此地之後開始的，他正在尋找塔拉夏的古墓。沒有人知道看守巴爾的塔拉夏究竟葬在何處，目前只知道是在沙漠遠方的某處。

最近我的人民都在說，死人從墓地爬出來，可怕生物出沒於月光照映的沙丘。就連我都親眼目睹無法解釋的現象。我已經下令關閉海港，所有商船不得離開，等我確定城市安全之後才能解除禁令。
 
酒館老闆亞特瑪有一個重要任務要委託你，請馬上前往城鎮的另一側找她。

我必須回皇宮了。抱歉無法邀請你入內。目前狀況...實在是一團亂。","親愛的冒險者，你好，我是魯高因的國王傑恩，歡迎你來到這座美麗的海港城市。知道西方之路再次恢復通行，供商隊自由往來，我非常高興。

前一段時間開始，有一股不明的邪惡勢力不斷在攻擊我們。奇怪的是…這一切都是在一名黑暗流浪者經過此地之後開始的，他正在尋找塔拉夏的古墓。沒有人知道看守巴爾的塔拉夏究竟葬在何處，目前只知道是在沙漠遠方的某處。

最近我的人民都在說，死人從墓地爬出來，可怕生物出沒於月光照映的沙丘。就連我都親眼目睹無法解釋的現象。我已經下令關閉海港，所有商船不得離開，等我確定城市安全之後才能解除禁令。
 
酒館老闆亞特瑪有一個重要任務要委託你，請馬上前往城鎮的另一側找她。

我必須回皇宮了。抱歉無法邀請你入內。目前狀況…實在是一團亂。"
254,"如果想找魔法商品，可以找卓格南或是雷山德。卓格南是我認識最博學的人，他的魔法和古代知識無可比擬。可憐的雷山德幾乎聽不見了，不過他是值得信賴的藥水鍊金師。

如果想回西方，去找瓦瑞夫，你應該認識他。

我們的法拉是手藝精湛、值得信賴的防具工匠，她還可以幫你治療傷勢。
 
艾吉斯是旅店的老闆，而且也有一些商品可供交易。
 
格雷茲是傭兵的老大，我雇用他來守衛魯高因的大門，並且維持城鎮中的秩序。
 
城裡當然還有其他人。我相信你很快就會見到他們，自己到處逛逛吧...","如果想找魔法商品，可以找卓格南或是雷山德。卓格南是我認識最博學的人，他的魔法和古代知識無可比擬。可憐的雷山德幾乎聽不見了，不過他是值得信賴的藥水鍊金師。

如果想回西方，去找瓦瑞夫，你應該認識他。

我們的法拉是手藝精湛、值得信賴的防具工匠，她還可以幫你治療傷勢。
 
艾吉斯是旅店的老闆，而且也有一些商品可供交易。
 
格雷茲是傭兵的老大，我雇用他來守衛魯高因的大門，並且維持城鎮中的秩序。
 
城裡當然還有其他人。我相信你很快就會見到他們，自己到處逛逛吧…"
274,"我怎麼知道可不可以信任你？對不對？

你可能和那個開旅店的小毛賊艾吉斯一樣詭計多端。不過你如果需要藥水，我是可以幫你做...不過當然要收錢。","我怎麼知道可不可以信任你？對不對？

你可能和那個開旅店的小毛賊艾吉斯一樣詭計多端。不過你如果需要藥水，我是可以幫你做…不過當然要收錢。"
276,"啊...亞特瑪是沙漠最美的花朵。只是...就連我最厲害的藥水，也無法讓她的家人活過來。","啊…亞特瑪是沙漠最美的花朵。只是…就連我最厲害的藥水，也無法讓她的家人活過來。"
280,"格雷茲啊...我對他很有信心，他看起來能把事情處理得不錯。","格雷茲啊…我對他很有信心，他看起來能把事情處理得不錯。"
282,"這些年來我賣給馬席夫不少暈船藥水。看來有很多乘客受不了...他的船在海上搖來晃去的。","這些年來我賣給馬席夫不少暈船藥水。看來有很多乘客受不了…他的船在海上搖來晃去的。"
283,"啊...傑恩這個年輕人向我買過一些輕度愛情藥水，想用來獲得妓院女子的芳心。

不過現在她們都住在他的皇宮裡面，所以他也很少來這裡了。我常說...鍊金術是永遠無法取代經驗的。","啊…傑恩這個年輕人向我買過一些輕度愛情藥水，想用來獲得妓院女子的芳心。

不過現在她們都住在他的皇宮裡面，所以他也很少來這裡了。我常說…鍊金術是永遠無法取代經驗的。"
284,"卓格南嗎？喔...他是我的好朋友。我一直幫他找些奇特的法術原料以及鍊金相關書藉。我覺得他以前應該是個相當出名的法師，不過他不想談過去的經歷。","卓格南嗎？喔…他是我的好朋友。我一直幫他找些奇特的法術原料以及鍊金相關書藉。我覺得他以前應該是個相當出名的法師，不過他不想談過去的經歷。"
301,"馬席夫是個有趣的人。有一部份的他嚮往海洋的開闊跟自由...但是他的內心始終牽掛著家園。","馬席夫是個有趣的人。有一部份的他嚮往海洋的開闊跟自由…但是他的內心始終牽掛著家園。"
302,"凡人，謝謝你讓我重獲自由，不過我期盼你們能早點出現。

我是大天使泰瑞爾。我來此阻止迪亞布羅釋放他的兄弟巴爾，可是我失敗了。如今恐懼和毀滅之王都已重返人間。

此時，他們正朝東方帝國的首都庫拉斯特前進，目標是撒卡蘭姆的神殿。憎恨之王墨菲斯托長久以來被監禁在那裡，他們打算找回這位長兄。

如果三大罪惡之源聯手，必定所向無敵。雖然還不知道他們的目標為何，但是我們必須不計一切代價加以制止。

我已經支離破碎，而且聯繫我和這個世界的能量正在急遽消散。

必須由你接手，繼續追擊，絕不能讓三兄弟會合。你必須跨越海洋，前往庫拉斯特，找出迪亞布羅和巴爾。

凡人，快...此事已迫在眉睫！","凡人，謝謝你讓我重獲自由，不過我期盼你們能早點出現。

我是大天使泰瑞爾。我來此阻止迪亞布羅釋放他的兄弟巴爾，可是我失敗了。如今恐懼和毀滅之王都已重返人間。

此時，他們正朝東方帝國的首都庫拉斯特前進，目標是撒卡蘭姆的神殿。憎恨之王墨菲斯托長久以來被監禁在那裡，他們打算找回這位長兄。

如果三大罪惡之源聯手，必定所向無敵。雖然還不知道他們的目標為何，但是我們必須不計一切代價加以制止。

我已經支離破碎，而且聯繫我和這個世界的能量正在急遽消散。

必須由你接手，繼續追擊，絕不能讓三兄弟會合。你必須跨越海洋，前往庫拉斯特，找出迪亞布羅和巴爾。

凡人，快…此事已迫在眉睫！"
305,"我最近發現一些受害者的屍體會從下水道流出來，它們通常都少了肢體或頭顱，軀幹部位也都被剝了皮。
 
那個怪物起初會在晚上襲擊市鎮...亞特瑪就是這樣失去家人的，不過現在我們把他困在下水道裡了。

只要待在地上，你就相當安全，不過每次都有傻子想逞英雄，帶著一把殺豬刀就跑進下面的廢棄通道裡。","我最近發現一些受害者的屍體會從下水道流出來，它們通常都少了肢體或頭顱，軀幹部位也都被剝了皮。
 
那個怪物起初會在晚上襲擊市鎮…亞特瑪就是這樣失去家人的，不過現在我們把他困在下水道裡了。

只要待在地上，你就相當安全，不過每次都有傻子想逞英雄，帶著一把殺豬刀就跑進下面的廢棄通道裡。"
308,"喂...別碰我的酒，不然我就用大拇指在你頭上打一個洞。","喂…別碰我的酒，不然我就用大拇指在你頭上打一個洞。"
310,"這個生物的巢穴位於城市底下的下水道。他殺害我的丈夫和兒子...我真的無法再講下去了...","這個生物的巢穴位於城市底下的下水道。他殺害我的丈夫和兒子…我真的無法再講下去了…"
313,"我聽說那個怪物在收集屍塊！是想吃掉嗎？天啊...真可怕！","我聽說那個怪物在收集屍塊！是想吃掉嗎？天啊…真可怕！"
317,"我開始對我的請求感到猶豫...我擔心你會因此喪失寶貴的性命。
 
請多加小心。","我開始對我的請求感到猶豫…我擔心你會因此喪失寶貴的性命。
 
請多加小心。"
319,"啊哈！你回來找勇氣的嗎...相信我，喝下去也撐不了多久的。

酒保，拿酒來！","啊哈！你回來找勇氣的嗎…相信我，喝下去也撐不了多久的。

酒保，拿酒來！"
321,"呃？鑼打門？噢，羅達門特！對對，那個邪惡生物...

我這裡有一些爆炸藥水，這種東西通常對不死生物很有效，用來對付他們應該不錯。","呃？鑼打門？噢，羅達門特！對對，那個邪惡生物…

我這裡有一些爆炸藥水，這種東西通常對不死生物很有效，用來對付他們應該不錯。"
327,"呃...最近幾乎沒有什麼有用的消息。不過羅達門特的死訊，確實是好消息。亞特瑪知道後一定會非常高興。","呃…最近幾乎沒有什麼有用的消息。不過羅達門特的死訊，確實是好消息。亞特瑪知道後一定會非常高興。"
329,"哇喔...「墮落的羅達門特」，是吧？

我常常從酒吧的高腳椅上摔下來，從來沒人叫我「墮落的基格列斯」，他們只會叫我「摔下來的基格列斯」。","哇喔…「墮落的羅達門特」，是吧？

我常常從酒吧的高腳椅上摔下來，從來沒人叫我「墮落的基格列斯」，他們只會叫我「摔下來的基格列斯」。"
334,"他們說復仇的滋味苦樂參半，但是我其實還蠻喜歡的。

我永遠感謝你，另外，我把你的義行告訴了其他鎮民。商人們都同意為你提供折扣，以聊表謝意。

對了...傑恩想見見你，去皇宮前面就會看到他。","他們說復仇的滋味苦樂參半，但是我其實還蠻喜歡的。

我永遠感謝你，另外，我把你的義行告訴了其他鎮民。商人們都同意為你提供折扣，以聊表謝意。

對了…傑恩想見見你，去皇宮前面就會看到他。"
335,"啊...是失落的赫拉迪姆卷軸！真是個幸運的意外...

身為最後的赫拉迪姆成員，只有我能夠解讀它的內容。現在，就來看看這些赫拉迪姆符文記載了什麼事情。嗯...

赫拉迪姆法師把巴爾囚禁在塔拉夏的體內，再用魔法封印他的墓室，讓那裡跟凡間隔絕。那些法師也製作了強大的赫拉迪姆之杖，在其中注入了特殊的力量，用來打開墓室隱藏的大門。

在某次有個叛逆的法師幾乎就要成功偷走法杖之後，他們就把赫拉迪姆之杖拆成兩部份，木製杖身和金屬杖頭，然後分別藏起來嚴密看管。

赫拉迪姆預見了我們的困境，安排好讓隱藏地點顯現在像你這樣夠資格的英雄眼前。

收集這兩個赫拉迪姆之杖的部件，然後利用赫拉迪姆方塊把它們組合在一起。之後你就能進入塔拉夏的墓室。","啊…是失落的赫拉迪姆卷軸！真是個幸運的意外…

身為最後的赫拉迪姆成員，只有我能夠解讀它的內容。現在，就來看看這些赫拉迪姆符文記載了什麼事情。嗯…

赫拉迪姆法師把巴爾囚禁在塔拉夏的體內，再用魔法封印他的墓室，讓那裡跟凡間隔絕。那些法師也製作了強大的赫拉迪姆之杖，在其中注入了特殊的力量，用來打開墓室隱藏的大門。

在某次有個叛逆的法師幾乎就要成功偷走法杖之後，他們就把赫拉迪姆之杖拆成兩部份，木製杖身和金屬杖頭，然後分別藏起來嚴密看管。

赫拉迪姆預見了我們的困境，安排好讓隱藏地點顯現在像你這樣夠資格的英雄眼前。

收集這兩個赫拉迪姆之杖的部件，然後利用赫拉迪姆方塊把它們組合在一起。之後你就能進入塔拉夏的墓室。"
336,"你身上的蝮蛇護符其實就是赫拉迪姆之杖的杖頂！

嗯...你有種不可思議的本事，讓你能找到罕見又有價值的文物。當然了，你還要使用赫拉迪姆方塊來組合杖頂和杖身。","你身上的蝮蛇護符其實就是赫拉迪姆之杖的杖頂！

嗯…你有種不可思議的本事，讓你能找到罕見又有價值的文物。當然了，你還要使用赫拉迪姆方塊來組合杖頂和杖身。"
338,"赫拉迪姆方塊裡面潛藏著無窮的力量。根據赫拉迪姆的傳說指出，這個方塊可以還原赫拉迪姆之杖。

還原的時候，先像使用卷軸一樣把赫拉迪姆方塊打開，然後把赫拉迪姆之杖的兩個部件放進去，接著使用方塊的轉化能力。

你應該也想知道，方塊還有其他各式各樣的轉化能力...
 
六個寶石加上一把劍，可以轉化成有鑲孔的長劍。

你也可以將兩桶弩箭轉化成一桶弓箭，或者將兩桶弓箭轉化成一桶弩箭。
 
其他還有很多不同的配方，就由你自己慢慢探索吧。","赫拉迪姆方塊裡面潛藏著無窮的力量。根據赫拉迪姆的傳說指出，這個方塊可以還原赫拉迪姆之杖。

還原的時候，先像使用卷軸一樣把赫拉迪姆方塊打開，然後把赫拉迪姆之杖的兩個部件放進去，接著使用方塊的轉化能力。

你應該也想知道，方塊還有其他各式各樣的轉化能力…
 
六個寶石加上一把劍，可以轉化成有鑲孔的長劍。

你也可以將兩桶弩箭轉化成一桶弓箭，或者將兩桶弓箭轉化成一桶弩箭。
 
其他還有很多不同的配方，就由你自己慢慢探索吧。"
349,"永無止境的黑暗實在讓人提心吊膽。嗯...不過這樣就可以靠星星導航，對我而言還比較容易。","永無止境的黑暗實在讓人提心吊膽。嗯…不過這樣就可以靠星星導航，對我而言還比較容易。"
350,"卓格南或許能對這件事給點建議。嗯...我想我得親自跟他談一談。","卓格南或許能對這件事給點建議。嗯…我想我得親自跟他談一談。"
354,"太奇怪了，過了一晚...早上起來居然還是黑漆漆的。","太奇怪了，過了一晚…早上起來居然還是黑漆漆的。"
357,"老實說...我不太清楚利爪蛇魔的習性。卓格南可能會對他們所使用的魔法有更深入的見解。","老實說…我不太清楚利爪蛇魔的習性。卓格南可能會對他們所使用的魔法有更深入的見解。"
364,"啊...我只用一個眼睛，也能欣賞回復原狀的太陽有多美麗。","啊…我只用一個眼睛，也能欣賞回復原狀的太陽有多美麗。"
365,"啊，太陽出來了...也沒多厲害嘛。
","啊，太陽出來了…也沒多厲害嘛。
"
367,"那個...你有搜刮到戰利品嗎？","那個…你有搜刮到戰利品嗎？"
